"id";"fullname";"email";"phone";"created_at";"updated_at"
1;"João da Silva";"joao.silva@email.com";"11 91234-5678";"2024-07-15 07:29:08";"2024-07-15 07:29:08"
2;"Maria Oliveira";"maria.oliveira@email.com";"21 98765-4321";"2024-07-15 07:31:55";"2024-07-15 07:31:55"
3;"Carlos Pereira";"carlos.pereira@email.com";"31 98756-4524";"2024-07-15 07:33:54";"2024-07-15 07:33:54"
4;"Ana Costa";"ana.costa@email.com";"41 91256-8956";"2024-07-15 07:35:01";"2024-07-15 07:35:01"
5;"Pedro Sousa";"pedro.sousa@email.com";"51 98562-4523";"2024-07-15 07:36:05";"2024-07-15 07:36:05"
6;"Lucas Almeida";"lucas.almeida@email.com";"11 98542-4585";"2024-07-16 08:27:34";"2024-07-16 08:27:34"
7;"Mariana Oliveira";"mariana.oliveira@email.com";"21 98563-5444";"2024-07-16 08:29:42";"2024-07-16 08:29:42"
8;"Fernanda Ribeiro";"fernanda.ribeiro@email.com";"41 95678-9012";"2024-07-16 08:31:46";"2024-07-16 08:31:46"
9;"Pedro Lima";"pedro.lima@email.com";"31 94567-8901";"2024-07-16 08:33:02";"2024-07-16 08:33:02"
10;"Ricardo Moreira";"ricardo.moreira@email.com";"51 96785-0123";"2024-07-16 08:34:07";"2024-07-16 08:34:07"
11;"Tech Innovators S.A";"tech.innovators@email.com";"83 3498-1001";"2024-07-16 09:23:25";"2024-07-16 09:23:25"
12;"Global Solutions Ltda.";"global.solutions@email.com";"83 3498-1002";"2024-07-16 09:33:10";"2024-07-16 09:33:10"
13;"Eco Energy Corp.";"eco.energi@email.com";"83 3498-1123";"2024-07-16 09:40:18";"2024-07-16 09:40:18"
14;"Future Ventures Inc.";"future.ventures@email.com";"83 3498-1045";"2024-07-16 09:46:21";"2024-07-16 09:46:21"
15;"Health & Wellness Group S.A";"health.wellness@email.com";"83 3498-5654";"2024-07-16 09:55:38";"2024-07-16 09:55:38"
