"id";"number";"street";"postal_code";"neighborhood";"city";"state";"country";"address_type";"is_primary";"notes";"created_at";"updated_at"
1;"1";"Rua Paulo Costa Lima";"58106-442";"Amazônia Park";"Cabedelo";"Paraíba";"Brasil";"Residential";1;"";"2024-07-17 10:13:17";"2024-07-17 10:13:17"
2;"792";"Rua Padre Anchieta";"58701-030";"Santo Antônio";"Patos";"Paraíba";"Brasil";"Residential";1;"";"2024-07-17 10:16:22";"2024-07-17 10:16:22"
3;"495";"Rua Dr. Enaldo Torres Fernandes";"58703-070";"Liberdade";"Patos";"Paraíba";"Brasil";"Residential";1;"";"2024-07-17 10:17:45";"2024-07-17 10:17:45"
4;"318";"Rua Capitão João de Sá";"58400-200";"Centro";"Campina Grande";"Paraíba";"Brasil";"Residential";1;"";"2024-07-17 10:19:29";"2024-07-17 10:19:29"
5;"667";"Rua Juarez Távora";"58103-002";"Camalaú";"Cabedelo";"Paraíba";"Brasil";"Residential";1;"";"2024-07-17 10:21:25";"2024-07-17 10:21:25"
6;"708";"Rua Francisco Bento de Araújo";"58056-265";"Mangadeira";"Mangabeira";"Paraíba";"Brasil";"Residential";1;"";"2024-07-17 10:23:05";"2024-07-17 10:23:05"
7;"431";"Rua Antônio Leite de Andrade";"58433-097";"Malvinas";"Campina Grande";"Paraíba";"Brasil";"Residential";1;"";"2024-07-17 10:24:41";"2024-07-17 10:24:41"
8;"497";"Rua Renan Aires";"58707-218";"Jatobá";"Rua Renan Aires";"Paraíba";"Brasil";"Residential";1;"";"2024-07-17 10:26:44";"2024-07-17 10:26:44"
9;"630";"Rua Professora Alice Mendes da Nóbrega";"58067-235";"Gramane";"João Pessoa";"Paraíba";"Brasil";"Residential";1;"";"2024-07-17 10:28:28";"2024-07-17 10:28:28"
10;"293";"Rua Dr. Mirocene Fernando da Cunha Lima";"58035-020";"Bessa";"João Pessoa";"Paraíba";"Brasil";"Residential";1;"";"2024-07-17 10:30:07";"2024-07-17 10:30:07"
11;"457";"Travessa Pedro Saraiva Moura";"58705-321";"Sete Casas";"Patos";"Paraíba";"Brasil";"Business";1;"";"2024-07-17 11:02:26";"2024-07-17 11:02:26"
12;"784";"Rua João Francisco de Araújo";"58416-035";"Jardim Quarenta";"Campina Grande";"Paraíba";"Brasil";"Business";1;"";"2024-07-17 11:11:19";"2024-07-17 11:11:19"
13;"896";"Rua Ana Cristina Rolim Machado";"58036-444";"Aeroclube";"João Pessoa";"Paraíba";"Brasil";"Business";1;"";"2024-07-17 11:15:20";"2024-07-17 11:15:20"
14;"784";"Rua Tenente Wilson Claudino Ferreira";"58103-518";"Jardim Manguinhos";"Cabedelo";"Paraíba";"Brasil";"Business";1;"";"2024-07-17 11:22:23";"2024-07-17 11:22:23"
15;"91";"Rua José Vidal";"58748-970";"Centro";"Agua Branca";"Paraíba";"Brasil";"Business";1;"";"2024-07-17 11:25:52";"2024-07-17 11:25:52"
16;"784";"Rua Ciclista Márcio Lacerda de Araújo";"58037-405";"Jardim Oceania";"João Pessoa";"Paraíba";"Brasil";"Residential";1;"";"2024-07-17 11:36:20";"2024-07-17 11:36:20"
17;"451";"Rua José Paulo da Silva Lira";"58053-003";"Água Fria";"João Pessoa";"Paraíba";"Brasil";"Residential";1;"";"2024-07-17 11:41:56";"2024-07-17 11:41:56"
18;"395";"Avenida Presidente Epitácio Pessoa";"58045-903";"Cabo Branco";"João Pessoa";"Paraíba";"Brasil";"Shipping";1;"";"2024-07-17 11:48:54";"2024-07-17 11:48:54"
19;"381";"Rua Severino Xavier Souza";"58051-831";"Jardim Cidade Universitária";"João Pessoa";"Paraíba";"Brasil";"Business";1;"";"2024-07-17 13:11:00";"2024-07-17 13:11:00"
20;"155";"Rua Genival do Nascimento";"58068-150";"Gramame";"João Pessoa";"Paraíba";"Brasil";"Business";1;"";"2024-07-17 13:13:18";"2024-07-17 13:13:18"
21;"185";"Rua José Gonçalves de Amorim";"58074-152";"José Américo de Almeida";"João Pessoa";"Paraíba";"Brasil";"Business";1;"";"2024-07-17 13:16:05";"2024-07-17 13:16:05"
