"id";"fullname";"email";"password";"phone";"created_at";"updated_at"
1;"Raiane Guerini Prata";"raiane.guerini@contato.com";"1010";"83 97645-8622";"2024-07-17 10:13:17";"2024-07-17 10:13:17"
2;"Livia Jéssica da Mata";"livia.jessica@contato.com";"8956";"83 99475-8680";"2024-07-17 10:16:22";"2024-07-17 10:16:22"
3;"Carolina Bárbara da Silva";"carolina.barbara@contato.com";"8956";"83 999969-2745";"2024-07-17 10:17:45";"2024-07-17 10:17:45"
4;"Brenda Renato Melo";"brenda.renato@contato.com";"5623";"83 98813-5051";"2024-07-17 10:19:29";"2024-07-17 10:19:29"
5;"Elaine Analu Mendes";"elaine.analu@contato.com";"7847";"83 99979-9145";"2024-07-17 10:21:25";"2024-07-17 10:21:25"
6;"Livia Priscila Freitas";"livia.priscila@contato.com";"7845";"83 98103-6902";"2024-07-17 10:23:05";"2024-07-17 10:23:05"
7;"Fábio Pietro Corte Real";"fabio.pietro@contato.com";"7454";"83 98243-1887";"2024-07-17 10:24:41";"2024-07-17 10:24:41"
8;"Anderson Danilo Ribeiro";"anderson.danilo@contato.com";"6320";"83 99903-5402";"2024-07-17 10:26:44";"2024-07-17 10:26:44"
9;"Catarina Amanda das Neves";"catarina.amanda@contato.com";"4512";"83 99347-7292";"2024-07-17 10:28:28";"2024-07-17 10:28:28"
10;"Emilly Alana Cavalcanti";"emilly.alana@contato.com";"4578";"83 98189-7115";"2024-07-17 10:30:07";"2024-07-17 10:30:07"
11;"Taynara Marins Gualberto";"taynara.marins@email.com";"7845";"83 98875-0931";"2024-07-17 11:36:20";"2024-07-17 11:36:20"
12;"Roberta Lopes Quindeler";"roberta.quindeler@email.com";"5623";"83 98127-8601";"2024-07-17 11:41:55";"2024-07-17 11:41:55"
13;"Benicio Enrico Galvão";"benicio.enrico@email.com";"7845";"83 98390-5748";"2024-07-17 11:48:54";"2024-07-17 11:48:54"
14;"Vabo Amorim Restaurante ME";"vabo.amorim@contato.com";"7845";"83 2943-8345";"2024-07-17 13:11:00";"2024-07-17 13:11:39"
15;"Serravalle Laporte Doces ME";"serravale.doces@contato.com";"4512";"83 2056-2266";"2024-07-17 13:13:18";"2024-07-17 13:13:18"
16;"Saldanha Material de Construções LTDA";"saldanha.construcoes@contato.com";"1225";"83 2383-1103";"2024-07-17 13:16:04";"2024-07-17 13:16:04"
